"timestamp","id device","error","num of message","previous timestamp difference","previous timestamp difference for this device"
"1179144732","00440121","0","22","6999632",""
"1182929164","0063013D","0","0","3784432","6782098.666666667"
"1186144372","","1","","3215208",""
"1193144004","","1","","6999632",""
"1200143636","","1","","6999632",""
"1207143276","00440121","0","26","6999640","6999636.0"
"1214142900","00440121","0","27","6999624",""
"1221142540","00440121","0","28","6999640",""
"1228142180","00440121","0","29","6999640",""
"1235141804","00440121","0","30","6999624",""
"1242141436","00440121","0","31","6999632",""
"1249141068","00440121","0","32","6999632",""
"1256140708","00440121","0","33","6999640",""
"1263140340","00440121","0","34","6999632",""
"1269920588","","1","","6780248",""
"1273926276","0063013D","0","1","4005688","6999777.846153846"
"1277139596","00440121","0","36","3213320","6999628.0"
"1280925972","0063013D","0","2","3786376","6999696.0"
"1284140220","00440121","0","37","3214248","7000624.0"
"1287925676","0063013D","0","3","3785456","6999704.0"
"1291139836","00440121","0","38","3214160","6999616.0"
"1294925380","0063013D","0","4","3785544","6999704.0"
"1298140452","00440121","0","39","3215072","7000616.0"
"1301925084","0063013D","0","5","3784632","6999704.0"
"1303752507","","1","","1827423",""
"1305141076","00440121","0","40","1388569","3500312.0"
"1308924788","0063013D","0","6","3783712","3499852.0"
"1312140692","00440121","0","41","3215904","6999616.0"
"1319141324","00440121","0","42","7000632",""
"1324238588","0063013D","0","0","5097264","7656900.0"
"1326140956","00440121","0","43","1902368","6999632.0"
"1328244284","0063013D","0","1","2103328","4005696.0"
"1333140588","00440121","0","44","4896304","6999632.0"
"1335243980","0063013D","0","2","2103392","6999696.0"
"1340140204","00440121","0","45","4896224","6999616.0"
"1342243684","0063013D","0","3","2103480","6999704.0"
"1347140812","00440121","0","46","4897128","7000608.0"
"1349243380","0063013D","0","4","2102568","6999696.0"
"1354141444","00440121","0","47","4898064","7000632.0"
"1356243084","0063013D","0","5","2101640","6999704.0"
"1361141076","00440121","0","48","4897992","6999632.0"
"1363242788","0063013D","0","6","2101712","6999704.0"
"1368140716","00440121","0","49","4897928","6999640.0"
"1370242492","0063013D","0","7","2101776","6999704.0"
"1375140348","00440121","0","50","4897856","6999632.0"
"1382139980","00440121","0","51","6999632",""
"1386846276","0063013D","0","0","4706296","8301892.0"
"1389139596","00440121","0","52","2293320","6999616.0"
"1390851964","0063013D","0","1","1712368","4005688.0"
"1396140228","00440121","0","53","5288264","7000632.0"
"1397851676","0063013D","0","2","1711448","6999712.0"
"1403139860","00440121","0","54","5288184","6999632.0"
"1404851372","0063013D","0","3","1711512","6999696.0"
"1410139492","00440121","0","55","5288120","6999632.0"
"1411851076","0063013D","0","4","1711584","6999704.0"
"1417139124","00440121","0","56","5288048","6999632.0"
"1418850780","0063013D","0","5","1711656","6999704.0"
"1424138740","00440121","0","57","5287960","6999616.0"
"1425850476","","1","","1711736",""
"1431139372","00440121","0","58","5288896","7000632.0"
"1436564876","0063013D","0","0","5425504","5904698.666666667"
"1438139004","00440121","0","59","1574128","6999632.0"
"1440570564","0063013D","0","1","2431560","4005688.0"
"1445138644","00440121","0","60","4568080","6999640.0"
"1447570268","0063013D","0","2","2431624","6999704.0"
"1452138276","00440121","0","61","4568008","6999632.0"
"1454569964","0063013D","0","3","2431688","6999696.0"
"1459137908","00440121","0","62","4567944","6999632.0"
"1461569668","0063013D","0","4","2431760","6999704.0"
"1466137540","00440121","0","63","4567872","6999632.0"
"1468569364","0063013D","0","5","2431824","6999696.0"
"1473137156","00440121","0","64","4567792","6999616.0"
"1475569076","0063013D","0","6","2431920","6999712.0"
"1480137764","00440121","0","65","4568688","7000608.0"
"1482568772","0063013D","0","7","2431008","6999696.0"
"1487138380","00440121","0","66","4569608","7000616.0"
"1489568476","0063013D","0","8","2430096","6999704.0"
"1494139004","00440121","0","67","4570528","7000624.0"
"1496568180","0063013D","0","9","2429176","6999704.0"
"1501138636","00440121","0","68","4570456","6999632.0"
"1508138252","00440121","0","69","6999616",""
"1515138884","00440121","0","70","7000632",""
"1522138516","00440121","0","71","6999632",""
"1529138148","00440121","0","72","6999632",""
"1536137780","00440121","0","73","6999632",""
"1543137404","00440121","0","74","6999624",""
"1550138012","00440121","0","75","7000608",""
"1557138644","00440121","0","76","7000632",""
"1564138276","00440121","0","77","6999632",""
"1571137908","00440121","0","78","6999632",""
"1578137540","00440121","0","79","6999632",""
"1585137164","00440121","0","80","6999624",""
"1590335676","0063013D","0","0","5198512","7212884.307692308"
"1592137788","00440121","0","81","1802112","7000624.0"
"1594341364","0063013D","0","1","2203576","4005688.0"
"1598351908","","1","","4010544",""
"1605352596","","1","","7000688",""
"1612352308","","1","","6999712",""
"1619352012","","1","","6999704",""
"1626351692","","1","","6999680",""
"1633351396","","1","","6999704",""
"1640351116","0063013D","0","8","6999720","7668292.0"
"1647350820","0063013D","0","9","6999704",""
"1654350508","","1","","6999688",""
"1661350212","","1","","6999704",""
"1668349932","","1","","6999720",""
"1675349636","0063013D","0","13","6999704","9332938.666666666"
"1682349340","0063013D","0","14","6999704",""
"1689349044","0063013D","0","15","6999704",""
"1696348748","","1","","6999704",""
"1703348452","0063013D","0","17","6999704","13999408.0"
"1710348148","0063013D","0","18","6999696",""
"1717347852","0063013D","0","19","6999704",""
"1725138620","00440121","0","100","7790768","7000043.7894736845"
"1732139260","00440121","0","101","7000640",""
"1739138884","00440121","0","102","6999624",""
"1746138524","00440121","0","103","6999640",""
"1753138140","00440121","0","104","6999616",""
"1760138772","00440121","0","105","7000632",""
"1767138396","00440121","0","106","6999624",""
"1774138012","00440121","0","107","6999616",""
"1781138644","00440121","0","108","7000632",""
"1788138276","00440121","0","109","6999632",""
"1795137908","00440121","0","110","6999632",""
"1798732092","0063013D","0","0","3594184","7398567.2727272725"
